Inventory MHE,Inventory container,Inventory index,Inventory max index,Item code,Item code owner,item_lot_number,item_expiration_date,Item sort key,Inventory quantity,Inventory damaged quantity,Inventory expired quantity,status
RR ASRS 001,ASRSX006011,1,2,4902562355078,3,,,,60,0,0,Initial
RR ASRS 001,ASRSX010488,5,8,4971910186916,3,,,,1,0,0,Initial
RR ASRS 001,ASRSX011843,2,8,4977524159582,3,,,,35,0,0,Initial
RR ASRS 001,ASRSX006872,1,4,4971910243015,3,,,,146,0,0,Initial
RR ASRS 001,ASRSX009471,6,8,4901681212712,3,,,,90,0,0,Initial
RR ASRS 001,ASRSX005670,4,4,4901480325149,3,,,,37,0,0,Initial
RR ASRS 001,ASRSX003649,4,8,49455045,1,,,,10,0,0,Initial
RR ASRS 001,ASRSX007305,1,2,4974214179592,1,,,,3,0,0,Initial
RR ASRS 001,ASRSX009839,4,4,4582406781418,3,,,,4,0,0,Initial
RR ASRS 001,ASRSX012015,3,8,4901480365282,3,,,,20,0,0,Initial
RR ASRS 001,ASRSX010122,1,8,4971516010974,3,,,,1,0,0,Initial
RR ASRS 001,ASRSX009305,6,8,4955414927145,1,,,,15,0,0,Initial
RR ASRS 001,ASRSX003649,2,8,4902506306784,1,,,,10,0,0,Initial
RR ASRS 001,ASRSX009839,3,4,4582406781425,3,,,,7,0,0,Initial
RR ASRS 001,ASRSX009555,7,8,4902506290861,1,,,,10,0,0,Initial
RR ASRS 001,ASRSX010320,1,8,4971910252956,3,,,,16,0,0,Initial
RR ASRS 001,ASRSX005123,6,8,4901480306452,3,,,,6,0,0,Initial
RR ASRS 001,ASRSX011771,5,8,4901681104345,3,,,,15,0,0,Initial
RR ASRS 001,ASRSX005753,8,8,4970116039361,1,,,,10,0,0,Initial
RR ASRS 001,ASRSX005123,7,8,4902506412911,3,,,,30,0,0,Initial
RR ASRS 001,ASRSX009181,2,8,4902506358394,3,,,,19,0,0,Initial
RR ASRS 001,ASRSX008066,2,2,4902031314650,1,,,,60,0,0,Initial
RR ASRS 001,ASRSX005026,1,1,4902031022401,1,,,,480,0,0,Initial
RR ASRS 001,ASRSX006691,1,2,4977114911033,3,,,,26,0,0,Initial
RR ASRS 001,ASRSX005467,2,8,4512799530669,1,,,,10,0,0,Initial
